Protein_ID,Accession,Gene_Symbol,Protein_Description,Peptide_Count,Unique_Peptides,Sequence_Coverage_Percent,Molecular_Weight_kDa,Control_Rep1_Intensity,Control_Rep2_Intensity,Control_Rep3_Intensity,Treatment_Rep1_Intensity,Treatment_Rep2_Intensity,Treatment_Rep3_Intensity,Mean_Log2FC_Treatment_vs_Control,P_Value,Adjusted_P_Value_BH
sp|P93168|CTGDC_HUMAN,P93168,CTGDC,CTGDC isoform 1,12,7,13.9,35.4,4.35299e+10,2.30685e+10,5.06238e+10,2.79266e+11,1.3272e+11,3.5645e+11,2.674,0.00929059,0.59607
sp|O93791|MCJZ_HUMAN,O93791,MCJZ,Putative MCJZ family protein,12,11,24.5,85,1.64046e+10,2.20007e+10,8.76178e+09,3.35329e+09,4.35181e+09,2.19296e+09,-2.209,0.0127457,0.59607
sp|Q24605|WZHQ_HUMAN,Q24605,WZHQ,WZHQ homolog,12,5,26.3,65,5.84632e+10,4.94447e+10,4.9654e+10,8.35661e+10,7.1084e+10,7.32282e+10,0.533,0.00782665,0.59607
sp|O30863|DBBHY_HUMAN,O30863,DBBHY,Mitochondrial DBBHY protein,8,6,9.7,13.7,6.04702e+10,5.97545e+10,9.77304e+10,1.93262e+10,2.0849e+10,2.04673e+10,-1.807,0.0149017,0.59607
sp|O10893|DFD_HUMAN,O10893,DFD,Mitochondrial DFD protein,12,9,29,82,4.87695e+10,2.59412e+10,2.97867e+10,2.24733e+11,1.16216e+11,9.70781e+10,2.024,0.0138344,0.59607
sp|O54237|IMBV_HUMAN,O54237,IMBV,Mitochondrial IMBV protein,8,5,12.1,54.2,3.28908e+10,2.77242e+10,1.38064e+10,1.52041e+11,1.49601e+11,5.96298e+10,2.25,0.0194753,0.649177
sp|O43798|RKTA3_HUMAN,O43798,RKTA3,RKTA3 subunit alpha,11,6,12.8,29.3,3.31428e+10,2.68248e+10,2.92071e+10,1.54019e+10,2.01828e+10,1.25524e+10,-0.911,0.0289229,0.82637
sp|P17987|NDJ5_HUMAN,P17987,NDJ5,Putative NDJ5 family protein,13,8,8.5,75.6,9.83746e+09,1.50358e+10,2.92648e+10,3.00531e+09,4.18006e+09,8.81696e+09,-1.763,0.0530677,0.964868
sp|O96006|MHM_HUMAN,O96006,MHM,MHM homolog,11,8,22.6,63.7,1.19917e+10,2.36177e+10,4.38915e+10,3.77109e+09,6.31983e+09,1.00681e+10,-1.898,0.052926,0.964868
sp|P87506|LTZ_HUMAN,P87506,LTZ,Mitochondrial LTZ protein,3,2,32.3,66.5,1.80189e+10,2.96734e+10,5.13603e+10,5.84213e+09,1.06775e+10,1.37266e+10,-1.668,0.0444654,0.964868
sp|P21695|DJU_HUMAN,P21695,DJU,DJU protein,10,4,21.4,51.4,1.38197e+10,1.62747e+10,1.46485e+10,1.26522e+10,9.51521e+09,9.97297e+09,-0.485,0.0421918,0.964868
sp|O61628|JRSR1_HUMAN,O61628,JRSR1,JRSR1 homolog,12,6,26,9.5,1.5369e+10,2.95965e+10,8.3791e+09,1.05896e+10,1.10122e+10,4.88592e+09,-0.914,0.238651,0.999824
sp|Q49255|CJJI_HUMAN,Q49255,CJJI,CJJI protein,3,2,24.9,85.3,3.37404e+10,3.90967e+09,4.72004e+09,3.29336e+10,3.78497e+09,6.27408e+09,0.11,0.940073,0.999824
sp|O73212|LDXCH_HUMAN,O73212,LDXCH,Mitochondrial LDXCH protein,8,5,26.2,84.6,1.50963e+10,9.62057e+09,3.62697e+10,3.29144e+10,1.94416e+10,6.65688e+10,1.005,0.258043,0.999824
sp|P60210|PSBF_HUMAN,P60210,PSBF,PSBF protein,7,3,21,9.7,1.06836e+10,6.45226e+09,1.14707e+11,8.8101e+09,6.38774e+09,1.27937e+11,-0.045,0.981986,0.999824
sp|O69251|OSS_HUMAN,O69251,OSS,OSS domain-containing protein,12,6,31.7,52.3,1.28502e+11,5.70637e+10,1.65645e+10,1.55838e+11,8.60754e+10,2.38854e+10,0.466,0.711306,0.999824
sp|P66344|BJZNZ_HUMAN,P66344,BJZNZ,BJZNZ protein,7,7,24.7,20.8,1.28956e+10,1.67115e+10,7.62377e+10,1.44695e+10,1.59234e+10,8.51273e+10,0.085,0.944635,0.999824
sp|Q63775|SRNGQ3_HUMAN,Q63775,SRNGQ3,SRNGQ3 domain-containing protein,10,5,13.6,38.2,3.73507e+10,4.54348e+09,3.66282e+10,3.97528e+10,4.11582e+09,3.79635e+10,-0,0.999824,0.999824
sp|P52624|NCQ_HUMAN,P52624,NCQ,NCQ isoform 1,11,9,21.4,51,7.4272e+10,6.72229e+10,1.14446e+10,8.85719e+10,7.06437e+10,1.25982e+10,0.155,0.90731,0.999824
sp|O37464|LYW_HUMAN,O37464,LYW,LYW isoform 1,8,6,8.1,44.9,1.80231e+10,1.34612e+10,4.88332e+10,2.18829e+10,1.57986e+10,5.2877e+10,0.209,0.799121,0.999824
sp|Q47344|FJEYX_HUMAN,Q47344,FJEYX,FJEYX isoform 1,8,7,21.3,56.5,1.94437e+10,3.68921e+10,7.02654e+10,2.46896e+10,4.38339e+10,6.5566e+10,0.164,0.819822,0.999824
sp|P34299|GOC_HUMAN,P34299,GOC,Mitochondrial GOC protein,8,5,31.7,73.2,8.00869e+09,5.96957e+10,1.02819e+11,5.1736e+10,2.48975e+11,6.14186e+11,2.443,0.18591,0.999824
sp|Q57975|ZND_HUMAN,Q57975,ZND,ZND isoform 1,13,10,30.6,39.6,2.46487e+10,7.22597e+10,3.80298e+10,1.21761e+10,3.21091e+10,1.47763e+10,-1.184,0.129569,0.999824
sp|O11462|GWL2_HUMAN,O11462,GWL2,GWL2 isoform 1,4,1,17.4,49.8,1.38962e+10,3.80207e+10,1.23319e+11,3.18141e+10,6.68284e+10,2.6442e+11,1.036,0.462407,0.999824
sp|P91441|RSKRJ_HUMAN,P91441,RSKRJ,RSKRJ domain-containing protein,7,4,11.6,48.4,2.55569e+10,1.26644e+11,1.92898e+09,5.43686e+10,2.3584e+11,3.07157e+09,0.886,0.745366,0.999824
sp|P14603|NGM_HUMAN,P14603,NGM,NGM homolog,7,4,36.7,31.1,3.85684e+10,1.45283e+10,1.97873e+10,6.23273e+10,3.11964e+10,4.16244e+10,0.956,0.140717,0.999824
sp|Q95473|ORVUF1_HUMAN,Q95473,ORVUF1,ORVUF1 subunit alpha,13,7,16.8,42,1.45127e+10,1.6885e+11,2.6134e+10,1.92332e+10,1.67141e+11,3.00824e+10,0.198,0.896492,0.999824
sp|O40607|GFYW_HUMAN,O40607,GFYW,GFYW homolog,9,6,16.9,63.2,9.19834e+09,6.02968e+10,7.81379e+09,3.5162e+10,2.02535e+11,3.80796e+10,1.989,0.189245,0.999824
sp|P75756|KXLG3_HUMAN,P75756,KXLG3,KXLG3 isoform 1,10,8,26.2,44.6,3.26419e+10,3.73245e+09,7.01849e+09,2.89223e+10,5.52284e+09,1.03812e+10,0.318,0.7984,0.999824
sp|Q73382|GPXKF_HUMAN,Q73382,GPXKF,GPXKF isoform 1,10,7,19.9,45.2,3.22525e+10,5.54344e+10,3.14407e+10,2.06099e+10,3.94254e+10,2.10562e+10,-0.572,0.233569,0.999824
sp|O80354|CBCQ_HUMAN,O80354,CBCQ,CBCQ domain-containing protein,8,4,35.5,58.6,2.35962e+10,1.9602e+10,6.03884e+09,6.30541e+10,5.53937e+10,1.46515e+10,1.398,0.20051,0.999824
sp|Q81186|PAC2_HUMAN,Q81186,PAC2,PAC2 isoform 1,12,9,14.2,55,1.21482e+11,2.09593e+10,2.09596e+10,1.84839e+10,3.55614e+09,2.91355e+09,-2.707,0.0860989,0.999824
